Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
Trial Hit Rates -> FIFO: 0.583, Belady: 0.583, LRU: 0.583
